year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kannaigudem,GROSS AREA SOWN,632,723
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Paddy,1502,150
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Maize,256,25
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Green Gram,85,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Black Gram,15,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Red Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Bengal Gram,57,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Cow Gram,15,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Chillies,35,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Groundnut,109,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Sesamum,9,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Jowar,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Kataram,GROSS AREA SOWN,2084,175
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Paddy,1040,150
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Maize,110,5
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Green Gram,76,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Black Gram,24,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Red Gram,2,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Bengal Gram,25,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Cow Gram,4,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Chillies,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Groundnut,32,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Sesamum,14,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Jowar,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,Horse Gram,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahadevpur,GROSS AREA SOWN,1329,155
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Paddy,1945,160
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Maize,140,40
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Green Gram,3,2
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Black Gram,26,5
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Red Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Bengal Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Cow Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Chillies,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Groundnut,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Sesamum,1,12
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Malhalrao,GROSS AREA SOWN,2115,219
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Paddy,2041,150
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Maize,61,20
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Green Gram,115,20
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Black Gram,114,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Red Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Bengal Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Cow Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Chillies,117,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Groundnut,180,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Sesamum,12,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mangapet,GROSS AREA SOWN,2640,190
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Paddy,1112,130
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Maize,466,256
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Green Gram,6,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Black Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Red Gram,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Bengal Gram,9,24
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Cow Gram,3,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Chillies,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Groundnut,6,2
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Sesamum,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mogullapally,GROSS AREA SOWN,1603,412
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Paddy,1807,160
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Maize,989,650
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Green Gram,105,85
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Black Gram,15,15
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Red Gram,9,2
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Bengal Gram,7,4
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Cow Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Chillies,34,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Groundnut,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Sesamum,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,Horse Gram,0,
2018-2019,Rabi,Jayashankar Bhupalpally,Mulug,GROSS AREA SOWN,2968,916
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Paddy,612,95
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Maize,44,20
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Green Gram,87,5
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Black Gram,20,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Red Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Bengal Gram,22,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Cow Gram,21,0
