year,season,districtName,mandalName,crop,normalArea,actualArea
2018-2019,Rabi,Mahabubabad,Peddavangara,Sunflower,0,0
2018-2019,Rabi,Mahabubabad,Mahabubabad,Total,3953,2750
2018-2019,Rabi,Mahabubabad,Kesamudram,Total,3617,2419
2018-2019,Rabi,Mahabubabad,Nellikudur,Total,4666,1340
2018-2019,Rabi,Mahabubabad,Kothaguda,Total,830.82852,404
2018-2019,Rabi,Mahabubabad,Gangaram,Total,394.5344,402
2018-2019,Rabi,Mahabubabad,Bayyaram,Total,1097.2,670
2018-2019,Rabi,Mahabubabad,Garla,Total,813.8,478
2018-2019,Rabi,Mahabubabad,Gudur,Total,2509.4,1005
2018-2019,Rabi,Mahabubabad,Maripeda,Total,5455.082,1895
2018-2019,Rabi,Mahabubabad,Chinnagudur,Total,1384.894,250
2018-2019,Rabi,Mahabubabad,Dornakal,Total,1128,742
2018-2019,Rabi,Mahabubabad,Kuravi,Total,1606.6,496
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Total,2034.638,834
2018-2019,Rabi,Mahabubabad,Danthalapalle,Total,2577.562,788
2018-2019,Rabi,Mahabubabad,Thorrur,Total,3085.798039,949
2018-2019,Rabi,Mahabubabad,Peddavangara,Total,2202.8,637
