year,season,district_name,mandal_name,crop,actual_area,normal_area
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Onions,,3
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Onions,36,49
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Onions,0,12
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Onions,0,1
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Onions,0,8
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Vegetables,183,50
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Vegetables,28,21
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Vegetables,140,113
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Vegetables,107,193
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Vegetables,200,122
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Vegetables,27,23
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Vegetables,,25
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Vegetables,,15
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Vegetables,0,10
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Vegetables,72,45
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Vegetables,0,11
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Vegetables,0,12
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Groundnut,1020,1598
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Groundnut,2618,1747
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Groundnut,341,888
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Groundnut,1060,1869
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Groundnut,1004,2791
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Groundnut,23,240
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Groundnut,485,549
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Groundnut,26,826
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Groundnut,47,86
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Groundnut,40,78
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Groundnut,0,50
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Groundnut,0,65
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Sunflower,0,1
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Sunflower,0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Sunflower,0,6
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Sunflower,0,16
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Sunflower,0,9
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Sunflower,0,2
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Sunflower,,5
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Sunflower,,10
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Sunflower,0,3
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Sunflower,0,42
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Sunflower,0,0
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Sunflower,0,2
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Castor,0,0
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Castor,0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Castor,0,0
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Castor,0,0
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Castor,2,1
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Castor,0,5
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Castor,,0
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Castor,,9
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Castor,0,0
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Castor,0,1
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Castor,0,0
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Castor,0,3
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Tobacco,27,99
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Tobacco,0,4
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Tobacco,0,0
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Tobacco,10,249
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Tobacco,313,328
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Tobacco,123,119
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Tobacco,,0
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Tobacco,473.2,183
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Tobacco,0,0
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Tobacco,15,6
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Tobacco,115,45
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Tobacco,232,228
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Mulbary,0,
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Mulbary,0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Mulbary,0,
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Mulbary,,
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Mulbary,0,0
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Mulbary,,
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Mulbary,,
