year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-19,Rabi,Jangaon,Kodakondla,Bengal Gram,4,
2018-19,Rabi,Jangaon,Gundala,Bengal Gram,0,
2018-19,Rabi,Jangaon,Jangaon,Sunflower,0,
2018-19,Rabi,Jangaon,Bachannpeta,Sunflower,0,
2018-19,Rabi,Jangaon,Narmetta,Sunflower,0,
2018-19,Rabi,Jangaon,Tharigopulla,Sunflower,0,
2018-19,Rabi,Jangaon,Station Ghanpur,Sunflower,0,
2018-19,Rabi,Jangaon,Chilpur,Sunflower,0,
2018-19,Rabi,Jangaon,Raghunathpally,Sunflower,2,
2018-19,Rabi,Jangaon,Zaffergadh,Sunflower,3,
2018-19,Rabi,Jangaon,Lingala Ghanpur,Sunflower,0,
2018-19,Rabi,Jangaon,Palakurthi,Sunflower,4,
2018-19,Rabi,Jangaon,Devaruppula,Sunflower,0,
2018-19,Rabi,Jangaon,Kodakondla,Sunflower,0,
2018-19,Rabi,Jangaon,Gundala,Sunflower,0,
2018-19,Rabi,Jangaon,Jangaon,Total,3677,98
2018-19,Rabi,Jangaon,Bachannpeta,Total,3124,141
2018-19,Rabi,Jangaon,Narmetta,Total,1686,198
2018-19,Rabi,Jangaon,Tharigopulla,Total,635,172
2018-19,Rabi,Jangaon,Station Ghanpur,Total,4335,2871.6
2018-19,Rabi,Jangaon,Chilpur,Total,1634,828.16
2018-19,Rabi,Jangaon,Raghunathpally,Total,2820,1480.4
2018-19,Rabi,Jangaon,Zaffergadh,Total,2769,401.6
2018-19,Rabi,Jangaon,Lingala Ghanpur,Total,2809,150.88
2018-19,Rabi,Jangaon,Palakurthi,Total,4424,947
2018-19,Rabi,Jangaon,Devaruppula,Total,5694,526
2018-19,Rabi,Jangaon,Kodakondla,Total,2636,240
2018-19,Rabi,Jangaon,Gundala,Total,1659,32
