year,season,districtName,mandalName,crop,normalArea,actualArea
2018-2019,Kharif,Mahabubabad,Narsimhulapet,Sesamum,20.8,0
2018-2019,Kharif,Mahabubabad,Danthalapalle,Sesamum,4,0
2018-2019,Kharif,Mahabubabad,Thorrur,Sesamum,6,0
2018-2019,Kharif,Mahabubabad,Peddavangara,Sesamum,11,12
2018-2019,Kharif,Mahabubabad,Kothaguda,Soyabean,0,0
2018-2019,Kharif,Mahabubabad,Gangaram,Soyabean,0,0
2018-2019,Kharif,Mahabubabad,Bayyaram,Soyabean,0,0
2018-2019,Kharif,Mahabubabad,Garla,Soyabean,0,0
2018-2019,Kharif,Mahabubabad,Mahabubabad,Soyabean,0,0
2018-2019,Kharif,Mahabubabad,Gudur,Soyabean,0,0
2018-2019,Kharif,Mahabubabad,Kesamudram,Soyabean,0,0
2018-2019,Kharif,Mahabubabad,Nellikudur,Soyabean,5,0
2018-2019,Kharif,Mahabubabad,Maripeda,Soyabean,2,0
2018-2019,Kharif,Mahabubabad,Chinnagudur,Soyabean,0,0
2018-2019,Kharif,Mahabubabad,Dornakal,Soyabean,0,0
2018-2019,Kharif,Mahabubabad,Kuravi,Soyabean,,0
2018-2019,Kharif,Mahabubabad,Narsimhulapet,Soyabean,6,0
2018-2019,Kharif,Mahabubabad,Danthalapalle,Soyabean,4,0
2018-2019,Kharif,Mahabubabad,Thorrur,Soyabean,0,25
2018-2019,Kharif,Mahabubabad,Peddavangara,Soyabean,20,0
2018-2019,Kharif,Mahabubabad,Kothaguda,Total,6127.2,3605
2018-2019,Kharif,Mahabubabad,Gangaram,Total,1370.2,3219
2018-2019,Kharif,Mahabubabad,Bayyaram,Total,7507.6,7682
2018-2019,Kharif,Mahabubabad,Garla,Total,6016,6478
2018-2019,Kharif,Mahabubabad,Mahabubabad,Total,10965,10110
2018-2019,Kharif,Mahabubabad,Gudur,Total,7785.4,7604
2018-2019,Kharif,Mahabubabad,Kesamudram,Total,10160.6,11257
2018-2019,Kharif,Mahabubabad,Nellikudur,Total,11951.2,12513
2018-2019,Kharif,Mahabubabad,Maripeda,Total,10355.6,6113
2018-2019,Kharif,Mahabubabad,Chinnagudur,Total,1369,1939
2018-2019,Kharif,Mahabubabad,Dornakal,Total,7316.4,5197
2018-2019,Kharif,Mahabubabad,Kuravi,Total,12085.2,11778
2018-2019,Kharif,Mahabubabad,Narsimhulapet,Total,7780,6484
2018-2019,Kharif,Mahabubabad,Danthalapalle,Total,2177,5716
2018-2019,Kharif,Mahabubabad,Thorrur,Total,10211.4,10799
2018-2019,Kharif,Mahabubabad,Peddavangara,Total,2427.6,5148
