year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Medak,Tekmal,Red Gram,538,74
2018-2019,Kharif,Medak,Papannapet,Red Gram,64,48
2018-2019,Kharif,Medak,Havelighanpur,Red Gram,8,1
2018-2019,Kharif,Medak,Ramayampet,Red Gram,65,164
2018-2019,Kharif,Medak,Nizampet,Red Gram,39,123
2018-2019,Kharif,Medak,Chegunta,Red Gram,101,113
2018-2019,Kharif,Medak,Narsingi,Red Gram,4,8
2018-2019,Kharif,Medak,Shankarampet (R),Red Gram,58,69
2018-2019,Kharif,Medak,Medak,Red Gram,18,83
2018-2019,Kharif,Medak,Kulcharam,Red Gram,89,75
2018-2019,Kharif,Medak,Chilipched,Red Gram,38,78
2018-2019,Kharif,Medak,Kowdipalle,Red Gram,252,187
2018-2019,Kharif,Medak,Narsapur,Red Gram,100,113
2018-2019,Kharif,Medak,Shivampet,Red Gram,156,23
2018-2019,Kharif,Medak,Yeldurthy,Red Gram,28,0
2018-2019,Kharif,Medak,Tupran,Red Gram,129,71
2018-2019,Kharif,Medak,Manoharabad,Red Gram,7,43
2018-2019,Kharif,Medak,Shankarampet (A),Cow Gram,0,0
2018-2019,Kharif,Medak,Regode,Cow Gram,0,0
2018-2019,Kharif,Medak,Alladurg,Cow Gram,0,0
2018-2019,Kharif,Medak,Tekmal,Cow Gram,0,0
2018-2019,Kharif,Medak,Papannapet,Cow Gram,0,0
2018-2019,Kharif,Medak,Havelighanpur,Cow Gram,0,0
2018-2019,Kharif,Medak,Ramayampet,Cow Gram,8,0
2018-2019,Kharif,Medak,Nizampet,Cow Gram,0,0
2018-2019,Kharif,Medak,Chegunta,Cow Gram,2,14
2018-2019,Kharif,Medak,Narsingi,Cow Gram,0,0
2018-2019,Kharif,Medak,Shankarampet (R),Cow Gram,17,0
2018-2019,Kharif,Medak,Medak,Cow Gram,0,0
2018-2019,Kharif,Medak,Kulcharam,Cow Gram,0,0
2018-2019,Kharif,Medak,Chilipched,Cow Gram,3,0
2018-2019,Kharif,Medak,Kowdipalle,Cow Gram,1,0
2018-2019,Kharif,Medak,Narsapur,Cow Gram,0,0
2018-2019,Kharif,Medak,Shivampet,Cow Gram,1,0
2018-2019,Kharif,Medak,Yeldurthy,Cow Gram,0,0
2018-2019,Kharif,Medak,Tupran,Cow Gram,0,0
2018-2019,Kharif,Medak,Manoharabad,Cow Gram,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Chillies,0,0
2018-2019,Kharif,Medak,Regode,Chillies,0,0
2018-2019,Kharif,Medak,Alladurg,Chillies,16,0
2018-2019,Kharif,Medak,Tekmal,Chillies,18,0
2018-2019,Kharif,Medak,Papannapet,Chillies,0,0
2018-2019,Kharif,Medak,Havelighanpur,Chillies,2,0
2018-2019,Kharif,Medak,Ramayampet,Chillies,0,0
2018-2019,Kharif,Medak,Nizampet,Chillies,0,11
2018-2019,Kharif,Medak,Chegunta,Chillies,0,0
2018-2019,Kharif,Medak,Narsingi,Chillies,0,0
2018-2019,Kharif,Medak,Shankarampet (R),Chillies,0,0
2018-2019,Kharif,Medak,Medak,Chillies,1,0
2018-2019,Kharif,Medak,Kulcharam,Chillies,0,0
2018-2019,Kharif,Medak,Chilipched,Chillies,0,0
2018-2019,Kharif,Medak,Kowdipalle,Chillies,6,0
2018-2019,Kharif,Medak,Narsapur,Chillies,1,0
2018-2019,Kharif,Medak,Shivampet,Chillies,1,0
2018-2019,Kharif,Medak,Yeldurthy,Chillies,1,0
2018-2019,Kharif,Medak,Tupran,Chillies,4,0
2018-2019,Kharif,Medak,Manoharabad,Chillies,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Sugarcane,47,4
2018-2019,Kharif,Medak,Regode,Sugarcane,44,0
2018-2019,Kharif,Medak,Alladurg,Sugarcane,119,21
2018-2019,Kharif,Medak,Tekmal,Sugarcane,274,43
2018-2019,Kharif,Medak,Papannapet,Sugarcane,315,21
2018-2019,Kharif,Medak,Havelighanpur,Sugarcane,20,88
2018-2019,Kharif,Medak,Ramayampet,Sugarcane,244,94
2018-2019,Kharif,Medak,Nizampet,Sugarcane,28,93
2018-2019,Kharif,Medak,Chegunta,Sugarcane,23,58
2018-2019,Kharif,Medak,Narsingi,Sugarcane,0,90
2018-2019,Kharif,Medak,Shankarampet (R),Sugarcane,134,70
2018-2019,Kharif,Medak,Medak,Sugarcane,514,213
2018-2019,Kharif,Medak,Kulcharam,Sugarcane,227,74
2018-2019,Kharif,Medak,Chilipched,Sugarcane,45,90
2018-2019,Kharif,Medak,Kowdipalle,Sugarcane,923,25
2018-2019,Kharif,Medak,Narsapur,Sugarcane,378,10
2018-2019,Kharif,Medak,Shivampet,Sugarcane,12,4
2018-2019,Kharif,Medak,Yeldurthy,Sugarcane,75,34
2018-2019,Kharif,Medak,Tupran,Sugarcane,10,2
2018-2019,Kharif,Medak,Manoharabad,Sugarcane,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Onion,0,0
2018-2019,Kharif,Medak,Regode,Onion,13,252
2018-2019,Kharif,Medak,Alladurg,Onion,13,23
2018-2019,Kharif,Medak,Tekmal,Onion,14,0
2018-2019,Kharif,Medak,Papannapet,Onion,2,5
2018-2019,Kharif,Medak,Havelighanpur,Onion,3,0
2018-2019,Kharif,Medak,Ramayampet,Onion,2,0
2018-2019,Kharif,Medak,Nizampet,Onion,0,0
2018-2019,Kharif,Medak,Chegunta,Onion,2,0
2018-2019,Kharif,Medak,Narsingi,Onion,0,12
2018-2019,Kharif,Medak,Shankarampet (R),Onion,0,0
2018-2019,Kharif,Medak,Medak,Onion,3,0
2018-2019,Kharif,Medak,Kulcharam,Onion,3,0
2018-2019,Kharif,Medak,Chilipched,Onion,0,0
2018-2019,Kharif,Medak,Kowdipalle,Onion,0,0
2018-2019,Kharif,Medak,Narsapur,Onion,4,0
2018-2019,Kharif,Medak,Shivampet,Onion,6,12
2018-2019,Kharif,Medak,Yeldurthy,Onion,0,0
2018-2019,Kharif,Medak,Tupran,Onion,3,0
2018-2019,Kharif,Medak,Manoharabad,Onion,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Cotton,154,591
2018-2019,Kharif,Medak,Regode,Cotton,4432,2928
2018-2019,Kharif,Medak,Alladurg,Cotton,6605,4560
2018-2019,Kharif,Medak,Tekmal,Cotton,1044,1557
2018-2019,Kharif,Medak,Papannapet,Cotton,10,28
2018-2019,Kharif,Medak,Havelighanpur,Cotton,0,0
2018-2019,Kharif,Medak,Ramayampet,Cotton,143,355
2018-2019,Kharif,Medak,Nizampet,Cotton,17,355
2018-2019,Kharif,Medak,Chegunta,Cotton,405,98
2018-2019,Kharif,Medak,Narsingi,Cotton,1,0
2018-2019,Kharif,Medak,Shankarampet (R),Cotton,50,633
2018-2019,Kharif,Medak,Medak,Cotton,0,739
2018-2019,Kharif,Medak,Kulcharam,Cotton,175,142
2018-2019,Kharif,Medak,Chilipched,Cotton,83,188
2018-2019,Kharif,Medak,Kowdipalle,Cotton,79,140
2018-2019,Kharif,Medak,Narsapur,Cotton,125,1365
2018-2019,Kharif,Medak,Shivampet,Cotton,117,74
2018-2019,Kharif,Medak,Yeldurthy,Cotton,7,19
2018-2019,Kharif,Medak,Tupran,Cotton,142,113
2018-2019,Kharif,Medak,Manoharabad,Cotton,6,108
2018-2019,Kharif,Medak,Shankarampet (A),Groundnut,0,0
2018-2019,Kharif,Medak,Regode,Groundnut,0,0
2018-2019,Kharif,Medak,Alladurg,Groundnut,0,0
2018-2019,Kharif,Medak,Tekmal,Groundnut,1,0
2018-2019,Kharif,Medak,Papannapet,Groundnut,0,0
2018-2019,Kharif,Medak,Havelighanpur,Groundnut,0,0
2018-2019,Kharif,Medak,Ramayampet,Groundnut,1,4
2018-2019,Kharif,Medak,Nizampet,Groundnut,0,0
2018-2019,Kharif,Medak,Chegunta,Groundnut,0,0
2018-2019,Kharif,Medak,Narsingi,Groundnut,0,12
2018-2019,Kharif,Medak,Shankarampet (R),Groundnut,0,0
2018-2019,Kharif,Medak,Medak,Groundnut,1,0
2018-2019,Kharif,Medak,Kulcharam,Groundnut,0,0
2018-2019,Kharif,Medak,Chilipched,Groundnut,0,0
2018-2019,Kharif,Medak,Kowdipalle,Groundnut,0,0
2018-2019,Kharif,Medak,Narsapur,Groundnut,0,0
2018-2019,Kharif,Medak,Shivampet,Groundnut,3,0
2018-2019,Kharif,Medak,Yeldurthy,Groundnut,0,0
2018-2019,Kharif,Medak,Tupran,Groundnut,0,0
2018-2019,Kharif,Medak,Manoharabad,Groundnut,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Castor,0,0
2018-2019,Kharif,Medak,Regode,Castor,0,0
2018-2019,Kharif,Medak,Alladurg,Castor,0,0
2018-2019,Kharif,Medak,Tekmal,Castor,0,0
2018-2019,Kharif,Medak,Papannapet,Castor,0,0
2018-2019,Kharif,Medak,Havelighanpur,Castor,0,0
2018-2019,Kharif,Medak,Ramayampet,Castor,5,0
2018-2019,Kharif,Medak,Nizampet,Castor,0,0
2018-2019,Kharif,Medak,Chegunta,Castor,0,6
2018-2019,Kharif,Medak,Narsingi,Castor,0,0
2018-2019,Kharif,Medak,Shankarampet (R),Castor,5,0
2018-2019,Kharif,Medak,Medak,Castor,0,0
2018-2019,Kharif,Medak,Kulcharam,Castor,0,0
2018-2019,Kharif,Medak,Chilipched,Castor,0,0
2018-2019,Kharif,Medak,Kowdipalle,Castor,0,6
2018-2019,Kharif,Medak,Narsapur,Castor,0,0
2018-2019,Kharif,Medak,Shivampet,Castor,3,0
2018-2019,Kharif,Medak,Yeldurthy,Castor,0,0
2018-2019,Kharif,Medak,Tupran,Castor,4,0
2018-2019,Kharif,Medak,Manoharabad,Castor,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Soyabean,466,6
2018-2019,Kharif,Medak,Regode,Soyabean,168,0
2018-2019,Kharif,Medak,Alladurg,Soyabean,312,1
2018-2019,Kharif,Medak,Tekmal,Soyabean,67,0
2018-2019,Kharif,Medak,Papannapet,Soyabean,34,0
2018-2019,Kharif,Medak,Havelighanpur,Soyabean,31,0
2018-2019,Kharif,Medak,Ramayampet,Soyabean,67,0
2018-2019,Kharif,Medak,Nizampet,Soyabean,7,0
2018-2019,Kharif,Medak,Chegunta,Soyabean,8,0
2018-2019,Kharif,Medak,Narsingi,Soyabean,0,9
2018-2019,Kharif,Medak,Shankarampet (R),Soyabean,42,0
2018-2019,Kharif,Medak,Medak,Soyabean,71,0
2018-2019,Kharif,Medak,Kulcharam,Soyabean,16,0
2018-2019,Kharif,Medak,Chilipched,Soyabean,6,0
2018-2019,Kharif,Medak,Kowdipalle,Soyabean,49,0
2018-2019,Kharif,Medak,Narsapur,Soyabean,19,0
2018-2019,Kharif,Medak,Shivampet,Soyabean,7,0
2018-2019,Kharif,Medak,Yeldurthy,Soyabean,24,0
2018-2019,Kharif,Medak,Tupran,Soyabean,0,0
2018-2019,Kharif,Medak,Manoharabad,Soyabean,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Total,4831,2676
2018-2019,Kharif,Medak,Regode,Total,7791,4015
2018-2019,Kharif,Medak,Alladurg,Total,10010,5450
2018-2019,Kharif,Medak,Tekmal,Total,7491,3921
2018-2019,Kharif,Medak,Papannapet,Total,5673,5666
2018-2019,Kharif,Medak,Havelighanpur,Total,917,3412
2018-2019,Kharif,Medak,Ramayampet,Total,6174,2748
2018-2019,Kharif,Medak,Nizampet,Total,847,3521
2018-2019,Kharif,Medak,Chegunta,Total,8009,2557
2018-2019,Kharif,Medak,Narsingi,Total,296,3014
2018-2019,Kharif,Medak,Shankarampet (R),Total,4960,4571
2018-2019,Kharif,Medak,Medak,Total,5829,2986
2018-2019,Kharif,Medak,Kulcharam,Total,5608,2614
2018-2019,Kharif,Medak,Chilipched,Total,760,2729
2018-2019,Kharif,Medak,Kowdipalle,Total,7591,4071
2018-2019,Kharif,Medak,Narsapur,Total,4134,3978
2018-2019,Kharif,Medak,Shivampet,Total,6269,1202
2018-2019,Kharif,Medak,Yeldurthy,Total,3053,2169
2018-2019,Kharif,Medak,Tupran,Total,3444,1805
2018-2019,Kharif,Medak,Manoharabad,Total,354,925
