year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Green Chillies,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Green Chillies,4,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Green Chillies,5,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Green Chillies,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Green Chillies,11,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Green Chillies,2,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Green Chillies,1,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Turmeric,0,14
2018-2019,Rabi,Kumuram Bheem,Asifabad,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Turmeric,2,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Turmeric,0,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Water Melon,16,25
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Water Melon,0,1
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Water Melon,0,0.4
2018-2019,Rabi,Kumuram Bheem,Bejjur,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Water Melon,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Water Melon,15,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Onion,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Onion,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Onion,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Onion,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Onion,11,24
2018-2019,Rabi,Kumuram Bheem,Asifabad,Onion,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Onion,0,3
2018-2019,Rabi,Kumuram Bheem,Wankidi,Onion,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Onion,6,10
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Onion,5,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Onion,13,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Onion,1,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Onion,16,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Onion,7,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Onion,19,0
