year,season,district_name,mandal_name,crop,normal_area,actual_area
2018,Kharif,Jagtial,Medipalli,Onion,0,0
2018,Kharif,Jagtial,Dharmapuri,Onion,4,4
2018,Kharif,Jagtial,Buggaram,Onion,0,0
2018,Kharif,Jagtial,Gollapally,Onion,0,0
2018,Kharif,Jagtial,Pegadapalli,Onion,0,0
2018,Kharif,Jagtial,Velgatur,Onion,0,0
2018,Kharif,Jagtial,Korutla,Onion,0,0
2018,Kharif,Jagtial,Metpalli,Onion,0,0
2018,Kharif,Jagtial,Ibrahimpatnam,Onion,6,8
2018,Kharif,Jagtial,Mallapur,Onion,0,0
2018,Kharif,Jagtial,Kathalapur,Onion,0,0
2018,Kharif,Jagtial,Jagtial U,Other food crops,381,206
2018,Kharif,Jagtial,Jagtial R,Other food crops,765,760
2018,Kharif,Jagtial,Sarangapur,Other food crops,101,209
2018,Kharif,Jagtial,Beerpur,Other food crops,152,23
2018,Kharif,Jagtial,Raikal,Other food crops,2902,1269
2018,Kharif,Jagtial,Mallial,Other food crops,56,1049
2018,Kharif,Jagtial,Kodimial,Other food crops,65,282
2018,Kharif,Jagtial,Medipalli,Other food crops,2221,528
2018,Kharif,Jagtial,Dharmapuri,Other food crops,156,243
2018,Kharif,Jagtial,Buggaram,Other food crops,256,104
2018,Kharif,Jagtial,Gollapally,Other food crops,562,1172
2018,Kharif,Jagtial,Pegadapalli,Other food crops,567,438
2018,Kharif,Jagtial,Velgatur,Other food crops,785,580
2018,Kharif,Jagtial,Korutla,Other food crops,2501,335
2018,Kharif,Jagtial,Metpalli,Other food crops,296,289
2018,Kharif,Jagtial,Ibrahimpatnam,Other food crops,217,214
2018,Kharif,Jagtial,Mallapur,Other food crops,1778,549
2018,Kharif,Jagtial,Kathalapur,Other food crops,923,543
2018,Kharif,Jagtial,Jagtial U,Other Non food crops,0,0
2018,Kharif,Jagtial,Jagtial R,Other Non food crops,0,0
2018,Kharif,Jagtial,Sarangapur,Other Non food crops,0,0
2018,Kharif,Jagtial,Beerpur,Other Non food crops,0,0
2018,Kharif,Jagtial,Raikal,Other Non food crops,0,0
2018,Kharif,Jagtial,Mallial,Other Non food crops,0,0
2018,Kharif,Jagtial,Kodimial,Other Non food crops,0,0
2018,Kharif,Jagtial,Medipalli,Other Non food crops,0,34
2018,Kharif,Jagtial,Dharmapuri,Other Non food crops,0,0
2018,Kharif,Jagtial,Buggaram,Other Non food crops,0,0
2018,Kharif,Jagtial,Gollapally,Other Non food crops,0,0
2018,Kharif,Jagtial,Pegadapalli,Other Non food crops,0,0
2018,Kharif,Jagtial,Velgatur,Other Non food crops,0,0
2018,Kharif,Jagtial,Korutla,Other Non food crops,0,54
2018,Kharif,Jagtial,Metpalli,Other Non food crops,0,0
2018,Kharif,Jagtial,Ibrahimpatnam,Other Non food crops,0,0
2018,Kharif,Jagtial,Mallapur,Other Non food crops,0,0
2018,Kharif,Jagtial,Kathalapur,Other Non food crops,0,0
2018,Kharif,Jagtial,Jagtial U,Total ,2924,2205
2018,Kharif,Jagtial,Jagtial R,Total ,6987,10426
2018,Kharif,Jagtial,Sarangapur,Total ,3522,4443
2018,Kharif,Jagtial,Beerpur,Total ,3857,2585.2
2018,Kharif,Jagtial,Raikal,Total ,10228,8130
2018,Kharif,Jagtial,Mallial,Total ,5166,4725.8
2018,Kharif,Jagtial,Kodimial,Total ,5966,5329
2018,Kharif,Jagtial,Medipalli,Total ,9130,6877
2018,Kharif,Jagtial,Dharmapuri,Total ,3100,4025
2018,Kharif,Jagtial,Buggaram,Total ,3274,2674
2018,Kharif,Jagtial,Gollapally,Total ,5073,8500
2018,Kharif,Jagtial,Pegadapalli,Total ,6590,7225
2018,Kharif,Jagtial,Velgatur,Total ,8781,8068
2018,Kharif,Jagtial,Korutla,Total ,9618,7194
2018,Kharif,Jagtial,Metpalli,Total ,9634,9330
2018,Kharif,Jagtial,Ibrahimpatnam,Total ,8530,6704
2018,Kharif,Jagtial,Mallapur,Total ,10125,8155
2018,Kharif,Jagtial,Kathalapur,Total ,8097,6760
