year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Nirmal,Narsapur G,Soyabean,108.25,1590
2018-2019,Kharif,Nirmal,Lokeshwaram,Soyabean,1426,1596
2018-2019,Kharif,Nirmal,Dilawarpur,Soyabean,2671,418
2018-2019,Kharif,Nirmal,Sarangapur,Soyabean,1251,1922
2018-2019,Kharif,Nirmal,Nirmal Urban,Soyabean,5525,7
2018-2019,Kharif,Nirmal,Nirmal Rural,Soyabean,5600,167
2018-2019,Kharif,Nirmal,Soan,Soyabean,5988.4,277
2018-2019,Kharif,Nirmal,Laxmanchanda,Soyabean,3289.75,62
2018-2019,Kharif,Nirmal,Mamada,Soyabean,2637.75,295
2018-2019,Kharif,Nirmal,Pembi,Soyabean,590.8,0
2018-2019,Kharif,Nirmal,Khanapur,Soyabean,1919.4,0
2018-2019,Kharif,Nirmal,Kaddam peddur,Soyabean,1412,6
2018-2019,Kharif,Nirmal,Dasturabad,Soyabean,12,0
2018-2019,Kharif,Nirmal,Kubeer,Cotton,4104,9714
2018-2019,Kharif,Nirmal,Tanoor,Cotton,3421.75,7400
2018-2019,Kharif,Nirmal,Basar,Cotton,1918.75,2625
2018-2019,Kharif,Nirmal,Mudhole,Cotton,801.25,4754
2018-2019,Kharif,Nirmal,Bhainsa,Cotton,1968,7468
2018-2019,Kharif,Nirmal,Kuntala,Cotton,801.25,5075
2018-2019,Kharif,Nirmal,Narsapur G,Cotton,1201.5,4579
2018-2019,Kharif,Nirmal,Lokeshwaram,Cotton,474.5,2450
2018-2019,Kharif,Nirmal,Dilawarpur,Cotton,4088,2883
2018-2019,Kharif,Nirmal,Sarangapur,Cotton,1373.25,4273
2018-2019,Kharif,Nirmal,Nirmal Urban,Cotton,11633,2
2018-2019,Kharif,Nirmal,Nirmal Rural,Cotton,8307,238
2018-2019,Kharif,Nirmal,Soan,Cotton,8100,100
2018-2019,Kharif,Nirmal,Laxmanchanda,Cotton,4690,278
2018-2019,Kharif,Nirmal,Mamada,Cotton,3236.75,1790
2018-2019,Kharif,Nirmal,Pembi,Cotton,40,1340
2018-2019,Kharif,Nirmal,Khanapur,Cotton,3346.6,592
2018-2019,Kharif,Nirmal,Kaddam peddur,Cotton,202,0
2018-2019,Kharif,Nirmal,Dasturabad,Cotton,3,42
2018-2019,Kharif,Nirmal,Kubeer,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Tanoor,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Basar,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Mudhole,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Bhainsa,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Kuntala,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Narsapur G,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Lokeshwaram,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Dilawarpur,Sugarcane,0,2
2018-2019,Kharif,Nirmal,Sarangapur,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Nirmal Urban,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Nirmal Rural,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Soan,Sugarcane,1.6,0
2018-2019,Kharif,Nirmal,Laxmanchanda,Sugarcane,1.5,0
2018-2019,Kharif,Nirmal,Mamada,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Pembi,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Khanapur,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Kaddam peddur,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Dasturabad,Sugarcane,0,0
2018-2019,Kharif,Nirmal,Kubeer,Chillies,68,14
2018-2019,Kharif,Nirmal,Tanoor,Chillies,37.25,7
2018-2019,Kharif,Nirmal,Basar,Chillies,24.5,2
2018-2019,Kharif,Nirmal,Mudhole,Chillies,2.25,6
2018-2019,Kharif,Nirmal,Bhainsa,Chillies,0,17
2018-2019,Kharif,Nirmal,Kuntala,Chillies,2.25,13
2018-2019,Kharif,Nirmal,Narsapur G,Chillies,0,68
2018-2019,Kharif,Nirmal,Lokeshwaram,Chillies,0,18
2018-2019,Kharif,Nirmal,Dilawarpur,Chillies,0,0
2018-2019,Kharif,Nirmal,Sarangapur,Chillies,0,62
2018-2019,Kharif,Nirmal,Nirmal Urban,Chillies,67,0
2018-2019,Kharif,Nirmal,Nirmal Rural,Chillies,190,0
2018-2019,Kharif,Nirmal,Soan,Chillies,196.2,29
2018-2019,Kharif,Nirmal,Laxmanchanda,Chillies,55.25,0
2018-2019,Kharif,Nirmal,Mamada,Chillies,19.75,0
2018-2019,Kharif,Nirmal,Pembi,Chillies,0,0
2018-2019,Kharif,Nirmal,Khanapur,Chillies,213.2,0
2018-2019,Kharif,Nirmal,Kaddam peddur,Chillies,0,0
2018-2019,Kharif,Nirmal,Dasturabad,Chillies,0,0
2018-2019,Kharif,Nirmal,Kubeer,Turmeric,58,45
2018-2019,Kharif,Nirmal,Tanoor,Turmeric,166.5,117
2018-2019,Kharif,Nirmal,Basar,Turmeric,441.75,26
2018-2019,Kharif,Nirmal,Mudhole,Turmeric,812.5,54
2018-2019,Kharif,Nirmal,Bhainsa,Turmeric,619.6,195
2018-2019,Kharif,Nirmal,Kuntala,Turmeric,812.5,97
2018-2019,Kharif,Nirmal,Narsapur G,Turmeric,301.75,133
2018-2019,Kharif,Nirmal,Lokeshwaram,Turmeric,1354.5,146
2018-2019,Kharif,Nirmal,Dilawarpur,Turmeric,74.8,472
2018-2019,Kharif,Nirmal,Sarangapur,Turmeric,1378,423
2018-2019,Kharif,Nirmal,Nirmal Urban,Turmeric,25,2
2018-2019,Kharif,Nirmal,Nirmal Rural,Turmeric,5600,853
2018-2019,Kharif,Nirmal,Soan,Turmeric,93.2,741
2018-2019,Kharif,Nirmal,Laxmanchanda,Turmeric,37,1511
2018-2019,Kharif,Nirmal,Mamada,Turmeric,15.25,1654
2018-2019,Kharif,Nirmal,Pembi,Turmeric,408.8,252
2018-2019,Kharif,Nirmal,Khanapur,Turmeric,243.2,707
2018-2019,Kharif,Nirmal,Kaddam peddur,Turmeric,752,0
2018-2019,Kharif,Nirmal,Dasturabad,Turmeric,10,23
